ID,RA,DEC,r_h,r_t 
NGC 6584,18h18m37.6s,-52d12m56.8s,0.73,7.673143989
NGC 6624,18h23m40.51s,-30d21m39.7s,0.82,18.97366596
NGC 6626,18h24m32.81s,-24d52m11.2s,1.97,11.22564339
NGC 6638,18h30m56.1s,-25d29m50.9s,0.51,4.703516597
NGC 6637,18h31m23.1s,-32d20m53.1s,0.84,7.916148633
NGC 6642,18h31m54.1s,-23d28m30.7s,0.73,9.77237221
NGC 6652,18h35m45.63s,-32d59m26.6s,0.48,6.309573445
NGC 6656,18h36m23.94s,-23d54m17.1s,3.36,31.90447782
Pal 8,18h41m29.9s,-19d49m33s,0.58,18.97527274
NGC 6681,18h43m12.76s,-32d17m31.6s,0.71,9.486832981
GLIMPSE01,18h48m49.7s,-1d29m50s,0.65,13.83095001
NGC 6712,18h53m4.3s,-8d42m22s,1.33,8.527340253
NGC 6715,18h55m3.33s,-30d28m47.5s,0.82,9.868303765
NGC 6717,18h55m6.04s,-22d42m5.3s,0.68,9.39918044
NGC 6723,18h59m33.15s,-36d37m56.1s,1.53,10.69247128
NGC 6749,19h5m15.3s,1d54m3s,1.1,3.822889012
NGC 6752,19h10m52.11s,-59d59m4.4s,1.91,53.75872022
NGC 6760,19h11m12.01s,1d1m49.7s,1.27,15.18724213
NGC 6779,19h16m35.57s,30d11m0.5s,1.1,10.55486484
Terzan 7,19h17m43.92s,-34d39m27.8s,0.77,4.170576387
Pal 10,19h18m2.1s,18d34m18s,0.99,3.07953411
Arp 2,19h28m44.11s,-30d21m20.3s,1.77,9.027073143
NGC 6809,19h39m59.71s,-30d57m53.1s,2.83,15.32048469
Terzan 8,19h41m44.41s,-33d59m58.1s,0.95,3.981071706
Pal 11,19h45m14.4s,-8d0m26s,1.46,4.421269226
NGC 6838,19h53m46.49s,18d46m45.1s,1.67,8.898986531
NGC 6864,20h6m4.69s,-21d55m16.2s,0.46,5.6786161
NGC 6934,20h34m11.37s,7d24m16.1s,0.69,7.454571435
NGC 6981,20h53m27.7s,-12d32m14.3s,0.93,7.460326448
NGC 7006,21h1m29.38s,16d11m14.4s,0.44,4.369672831
NGC 7078,21h29m58.33s,12d10m1.2s,1,27.2978244
NGC 7089,21h33m27.02s,0d49m23.7s,1.06,12.44944464
NGC 7099,21h40m22.12s,-23d10m47.5s,1.03,18.97366596
Pal 12,21h46m38.84s,-21d15m9.4s,1.72,19.09985172
Pal 13,23h6m44.44s,12d46m19.2s,0.36,2.19402331
Pyxis,9h7m57.8s,-37d13m17s,,0
NGC 104,0h24m5.67s,-72d4m52.6s,3.17,42.29631198
NGC 288,0h52m45.24s,-26d34m57.4s,2.23,13.19270248
NGC 1851,5h14m6.76s,-40d2m47.6s,0.51,6.519923641
NGC 7492,23h8m26.63s,-15d36m41.4s,1.15,4.513344158
NGC 5694,14h39m36.29s,-26d32m20.2s,0.4,4.6574827
Pal 5,15h16m5.25s,0d6m41.8s,2.73,7.582902682
Pal 14,16h11m0.6s,14d57m28s,1.22,5.173850225
Pal 15,16h59m51s,0d32m20s,1.1,4.777286047
